Age,Fuel_Type,Transmission,Mileage
10,1,1,14.8
8,0,0,26.0
7,0,0,12.99
6,1,0,20.4
11,0,0,15.1
9,0,0,22.7
11,0,0,13.0
10,0,1,21.5
8,0,1,15.3
6,0,1,19.27
11,1,0,19.4
10,1,0,20.36
7,0,1,17.9
4,1,0,18.9
11,0,1,17.68
10,1,1,14.4
6,0,1,16.6
9,0,0,22.54
9,0,1,17.68
11,0,0,25.44
11,1,1,13.7
17,0,0,17.8
9,0,1,22.48
16,1,0,12.9
8,0,0,19.98
9,0,1,13.0
6,1,0,21.4
11,0,0,22.32
6,1,0,19.81
7,0,0,15.4
5,0,1,12.7
7,0,0,25.47
8,1,0,20.36
10,0,0,25.8
15,0,0,17.5
9,0,0,19.87
6,0,0,17.45
7,1,0,18.6
14,1,0,14.7
13,1,0,15.64
8,0,1,15.73
9,1,1,14.7
9,0,0,23.59
9,1,1,14.8
10,0,0,27.4
9,0,0,20.46
8,1,0,15.29
7,1,1,20.51
13,1,1,11.74
11,0,1,11.8
11,1,0,19.81
6,1,1,14.3
6,1,1,14.67
5,1,0,17.19
19,1,0,18.9
10,0,0,21.03
5,0,1,19.27
10,1,0,22.5
8,0,0,19.01
10,0,0,17.8
6,1,1,16.82
16,0,0,17.2
4,0,1,11.36
12,0,1,11.72
12,1,0,17.4
5,1,0,18.6
8,0,1,19.27
10,0,0,25.44
8,0,0,22.54
8,0,0,12.99
10,0,0,20.77
9,0,0,12.8
9,0,1,17.05
6,0,0,24.0
7,0,0,28.09
11,0,0,20.5
17,0,0,13.1
9,0,0,19.91
6,1,0,18.7
13,1,0,19.81
5,0,1,16.38
12,1,0,19.7
9,1,0,18.9
15,0,0,22.0
13,1,0,17.0
6,0,1,11.57
9,0,0,15.8
9,0,0,23.2
7,0,0,19.67
13,1,0,19.0
7,0,0,19.64
13,0,0,17.8
6,0,1,16.55
7,0,0,12.8
5,0,0,28.4
10,0,0,12.05
6,0,0,22.95
6,1,0,18.88
11,0,0,23.4
7,1,0,22.74
12,1,0,17.0
5,0,1,12.07
14,0,1,17.0
11,1,0,17.1
14,1,1,16.8
10,0,0,21.9
9,1,1,15.0
12,0,0,20.54
9,1,0,17.4
5,0,0,22.95
8,0,1,18.48
14,1,0,18.9
8,1,0,18.2
11,0,0,15.0
11,1,0,20.36
7,0,0,13.68
8,0,1,17.68
13,0,0,12.99
8,1,0,16.47
12,1,0,20.92
6,1,1,18.0
10,0,0,17.0
8,0,1,17.9
12,0,0,17.8
9,1,1,23.1
6,0,1,17.9
6,0,1,12.7
11,1,0,14.0
11,1,0,18.5
11,0,0,18.0
11,1,0,18.9
8,0,0,16.0
15,0,0,17.1
5,1,0,16.02
12,1,1,11.7
11,0,0,19.3
14,0,0,17.8
15,1,0,17.7
12,0,1,9.52
6,0,1,14.75
11,0,0,23.0
14,1,1,16.95
7,1,1,19.0
12,1,0,18.5
12,1,0,16.47
14,1,0,19.7
19,1,1,11.3
17,1,0,19.7
11,0,0,21.12
11,1,0,19.7
10,0,1,19.3
15,1,1,11.3
9,0,0,18.0
8,0,1,21.76
10,0,0,21.02
18,1,1,14.45
6,1,0,24.07
12,1,0,18.0
6,0,1,19.33
16,1,0,13.1
4,1,1,14.67
10,0,0,22.9
7,1,1,18.5
12,0,0,23.08
8,0,0,23.4
11,0,0,17.8
6,1,0,13.8
5,1,0,24.7
14,0,1,11.0
8,1,1,11.07
8,1,1,18.9
6,0,0,24.3
15,0,1,12.07
16,1,0,16.1
8,0,0,20.45
6,0,0,21.43
13,0,0,21.1
6,1,1,16.0
8,0,0,24.4
9,0,1,14.21
6,0,1,15.0
13,1,0,16.2
6,1,1,13.5
8,1,0,18.0
8,1,1,18.86
6,0,1,13.5
9,1,0,21.1
9,1,0,20.51
12,0,0,21.1
12,0,1,16.07
9,0,0,13.49
9,0,1,20.38
11,0,1,12.7
13,0,1,12.0
5,0,1,13.5
10,1,0,14.0
12,1,0,17.01
10,0,1,16.73
10,0,1,14.74
13,1,1,13.7
6,0,1,15.73
10,0,1,14.84
6,0,0,15.4
6,1,0,15.4
13,0,1,16.0
18,1,0,13.2
6,1,0,17.19
5,1,1,11.5
8,1,0,21.1
5,1,0,18.9
10,1,0,13.0
13,1,0,16.47
7,1,1,15.26
6,1,0,15.29
12,1,1,11.74
9,1,1,16.82
17,1,0,17.0
10,0,0,23.59
9,1,0,19.4
5,1,1,21.4
11,0,1,20.0
5,1,0,21.1
4,0,0,20.37
12,0,1,16.2
8,0,1,16.8
16,1,0,18.9
9,1,0,13.7
7,0,0,15.96
6,1,1,13.0
6,1,0,16.09
15,1,1,12.9
9,0,0,22.3
10,0,0,16.0
6,1,0,18.6
9,0,1,14.16
13,1,0,13.17
8,0,0,12.8
7,0,0,27.62
5,0,0,25.1
7,0,1,15.17
7,0,1,21.76
7,0,1,11.33
11,0,0,19.01
7,0,0,24.4
10,1,0,16.47
10,0,0,21.12
15,1,0,17.92
11,0,0,12.99
6,0,0,28.09
10,0,0,12.55
14,1,0,15.3
5,1,1,12.6
11,0,0,17.72
5,1,0,18.16
10,1,0,16.8
8,0,0,19.87
8,0,1,15.68
12,0,0,20.0
15,0,1,12.8
6,0,0,12.55
12,0,0,23.2
10,0,0,22.32
12,1,1,10.8
6,0,1,11.0
19,1,1,12.0
7,0,1,17.01
7,0,1,20.0
9,1,0,16.02
17,0,0,18.7
19,1,0,17.3
10,1,0,15.5
9,1,1,16.5
15,1,1,12.1
11,1,0,18.6
6,0,1,12.55
13,0,1,13.5
8,1,0,17.3
6,1,0,18.9
8,0,1,16.0
11,1,0,14.83
14,1,0,17.92
4,1,0,15.29
10,0,0,20.5
12,0,1,11.7
10,1,0,17.6
11,1,0,22.5
7,1,0,15.8
9,1,0,23.1
6,0,1,17.68
4,1,0,22.0
10,1,0,14.6
13,0,0,11.5
13,1,1,12.05
13,1,1,16.8
10,0,0,14.66
18,0,0,17.0
13,1,1,10.93
12,0,0,19.3
8,1,1,18.0
10,0,0,18.2
14,1,1,12.6
11,0,1,18.48
6,0,1,20.68
14,1,0,17.7
13,1,0,17.5
16,1,0,13.5
10,0,0,25.47
10,1,1,9.9
6,0,0,21.13
8,0,0,20.14
16,0,0,19.2
9,0,1,18.88
8,0,0,27.3
8,0,1,16.36
7,0,0,26.59
5,0,0,17.1
13,1,0,12.5
10,1,0,18.6
4,0,1,22.32
11,0,0,15.96
19,1,0,13.8
5,0,0,20.14
11,0,0,13.6
6,0,0,25.1
9,1,0,18.2
7,0,1,17.05
11,0,1,15.06
8,0,1,12.55
9,0,1,11.33
8,1,0,18.5
17,1,1,10.13
10,0,0,17.21
10,0,1,12.55
9,0,1,15.97
5,0,0,25.2
7,1,1,13.53
15,0,0,10.5
7,0,1,16.36
8,0,1,19.3
5,1,1,14.28
5,0,1,17.9
7,0,1,21.5
7,0,1,14.69
8,0,0,15.4
6,0,0,23.9
14,0,1,12.07
13,1,0,14.7
9,1,0,19.1
10,0,1,18.88
12,1,0,12.8
14,0,0,14.0
14,0,1,13.2
7,0,0,16.0
9,0,0,21.27
17,0,0,13.6
16,1,0,15.9
7,0,1,20.7
10,1,0,17.0
6,0,0,14.1
6,0,0,21.9
10,0,0,19.33
6,1,0,19.1
6,1,0,20.89
7,0,1,18.12
16,1,0,13.8
7,0,0,22.32
9,0,1,16.07
12,1,1,12.3
13,1,0,18.6
14,0,0,13.5
6,0,1,19.71
18,1,1,16.4
8,0,1,11.5
12,1,0,24.07
6,1,1,9.43
14,0,0,21.9
16,1,0,13.4
9,0,0,24.0
15,0,0,16.8
8,0,0,23.2
9,1,0,20.73
10,1,1,17.5
8,0,0,20.77
8,0,0,26.59
16,0,1,14.84
15,1,0,16.0
17,1,0,13.8
6,1,0,16.2
7,1,0,18.7
11,0,0,21.1
9,1,0,16.8
13,1,0,13.14
6,1,1,24.07
12,1,0,20.36
7,1,1,18.1
10,0,0,22.77
11,0,1,14.3
17,1,0,14.49
10,1,0,18.5
12,0,1,12.39
6,0,1,10.91
10,0,1,12.8
6,1,0,17.01
6,0,1,13.0
15,1,0,17.5
12,1,0,13.0
11,0,1,14.84
8,0,1,15.97
8,1,0,19.1
6,1,1,22.0
10,0,1,16.07
6,1,0,22.74
10,0,1,17.11
11,1,1,13.6
8,0,1,12.07
8,1,0,20.51
7,0,0,19.01
8,0,1,18.88
8,1,0,20.85
7,0,0,17.72
5,1,1,15.63
6,0,0,15.0
11,0,0,25.2
5,0,0,27.39
8,0,0,14.0
15,1,0,13.2
7,0,0,25.2
16,0,0,17.8
7,1,1,21.9
6,0,0,25.47
11,1,0,15.04
14,0,1,15.5
9,0,1,20.7
15,0,0,17.2
12,0,0,18.3
9,1,1,11.74
5,1,0,18.2
10,1,0,16.78
7,1,0,20.4
14,1,0,19.0
12,1,0,25.4
8,0,0,25.5
12,1,0,16.0
6,1,0,18.16
18,1,0,15.4
7,0,1,18.88
6,0,0,17.9
18,0,0,12.7
12,0,1,18.1
10,0,0,12.8
9,1,1,16.95
9,0,0,20.0
10,0,1,20.0
13,1,0,18.9
10,0,1,10.0
10,0,1,13.73
8,1,0,22.5
15,0,0,13.1
12,0,0,22.32
10,1,0,16.02
4,0,1,14.0
6,0,0,23.65
8,1,1,18.1
12,0,0,22.07
12,0,0,12.55
6,0,0,16.0
10,0,0,23.4
9,1,0,17.01
5,0,0,27.4
10,1,0,17.1
8,0,0,24.2
19,0,0,13.1
7,1,0,20.36
8,1,0,18.6
10,0,1,11.5
7,0,1,22.69
13,1,0,14.49
12,0,1,14.21
10,0,1,17.68
7,1,0,25.17
6,0,0,21.66
9,1,0,22.74
11,1,0,18.3
11,1,0,17.0
6,0,0,22.54
8,1,1,17.21
8,0,0,20.0
7,0,0,24.0
7,0,0,14.02
9,1,0,19.81
9,0,1,19.3
9,0,0,20.77
10,0,0,20.0
9,1,0,16.47
14,0,1,16.77
10,0,1,22.32
10,1,0,17.92
12,0,1,16.55
14,0,0,17.0
8,1,1,13.7
8,0,0,22.32
9,0,0,24.5
12,0,0,12.8
12,0,0,13.6
9,0,0,20.34
18,1,0,17.3
5,0,1,13.0
5,0,0,25.4
7,1,0,15.29
7,1,0,19.4
5,0,1,11.36
9,0,0,25.1
8,0,0,25.1
6,1,0,21.7
6,1,1,23.1
12,0,0,15.1
12,1,0,22.0
15,1,1,9.7
11,1,1,14.33
12,1,1,14.74
10,0,0,21.64
9,0,0,23.4
11,0,0,28.4
8,0,1,13.0
7,1,0,22.7
13,1,0,16.8
5,1,1,19.16
7,0,0,26.0
11,0,0,19.33
7,0,0,20.77
7,0,1,19.27
15,0,0,19.3
10,1,0,19.1
6,1,0,21.1
11,1,0,15.1
6,0,1,14.16
9,0,1,15.73
13,0,0,19.3
10,0,0,14.07
7,0,1,15.97
8,0,0,25.0
9,1,1,16.93
8,1,0,23.1
12,0,0,11.5
13,1,1,11.3
9,0,1,15.5
13,1,0,9.0
12,1,0,17.5
8,0,0,22.77
16,1,0,18.2
11,0,0,23.59
6,0,0,19.67
11,0,1,14.74
6,0,0,16.3
5,0,1,15.68
7,0,0,27.39
16,1,0,15.0
8,0,0,22.7
10,0,0,13.5
6,1,0,17.0
10,0,0,16.8
5,0,0,13.68
7,1,0,21.4
7,0,0,27.3
7,1,0,19.1
6,1,1,18.9
14,0,1,16.55
15,1,0,19.81
8,0,1,21.66
19,1,0,14.4
9,1,0,17.8
4,0,1,12.62
13,1,0,14.8
9,1,0,15.0
17,1,0,15.4
13,1,0,13.2
11,0,1,22.48
10,0,1,15.73
18,1,1,11.3
12,0,1,13.5
8,1,1,15.5
6,0,1,26.59
9,1,1,18.9
10,1,0,16.95
5,1,0,25.17
11,1,1,17.1
15,1,0,18.9
10,0,1,18.48
4,1,0,16.8
9,0,0,25.2
4,0,0,23.0
9,0,0,22.32
9,0,0,20.64
4,0,0,26.59
13,1,0,13.7
9,0,0,23.0
9,0,0,25.44
9,1,0,16.2
12,0,0,11.57
9,0,1,11.3
15,0,1,11.5
10,0,0,14.24
11,1,1,11.25
13,0,1,13.2
15,1,1,10.8
13,1,0,18.06
9,0,1,16.36
12,0,1,10.2
13,1,1,10.1
8,0,1,18.25
5,1,1,14.8
9,0,0,22.07
13,0,1,19.27
6,1,0,14.4
9,0,0,26.59
7,0,0,25.1
9,0,0,19.01
12,0,0,25.44
16,0,0,13.93
13,0,0,17.5
10,1,0,18.9
13,0,0,23.0
6,0,0,25.83
7,1,1,16.8
7,0,1,10.91
4,0,0,24.3
8,1,1,8.6
9,1,0,17.57
14,0,0,19.4
8,0,0,21.43
9,1,0,13.24
12,1,1,16.95
8,1,1,24.07
10,1,0,21.1
9,0,0,22.0
11,0,0,16.8
6,0,0,17.6
10,0,1,17.09
9,1,0,18.0
7,1,0,24.7
7,1,0,17.01
5,1,0,23.84
7,0,0,22.54
9,0,0,21.43
9,0,0,20.14
14,1,1,13.7
8,0,0,17.8
7,1,1,18.0
15,1,1,8.45
14,1,1,19.2
5,0,0,26.0
7,1,0,14.0
9,0,0,17.2
5,0,0,24.52
8,0,0,20.5
8,0,1,14.69
6,0,1,19.6
12,0,0,18.0
7,1,0,12.3
10,0,0,15.1
9,0,0,20.5
7,1,0,19.5
13,1,1,14.53
7,1,0,16.1
12,0,0,21.5
5,1,1,20.3
7,0,1,26.59
16,1,0,15.3
15,1,0,16.1
7,1,1,23.1
13,0,1,14.84
12,1,0,15.04
15,1,1,14.53
15,1,0,13.5
6,1,1,16.05
13,0,0,19.0
10,1,0,19.81
9,0,1,11.2
9,0,0,26.0
10,0,0,12.99
8,1,1,17.0
10,0,1,22.0
13,1,0,16.0
7,0,0,23.59
8,0,1,27.03
11,0,1,22.69
4,1,0,18.78
11,1,0,14.8
10,1,0,22.74
11,0,1,12.35
13,1,0,15.0
6,1,1,17.1
6,0,1,21.5
11,1,0,16.47
13,1,0,17.4
18,1,0,17.7
10,1,1,12.0
9,0,1,18.12
11,0,0,12.05
11,0,0,20.54
14,1,0,16.1
6,1,1,14.28
10,1,1,14.59
11,0,0,21.43
9,0,0,16.0
8,1,1,14.28
9,1,0,14.53
10,0,1,17.32
9,0,0,21.9
10,0,1,19.27
10,0,0,21.1
5,0,1,13.6
7,0,0,14.95
5,0,1,13.22
9,1,0,16.1
5,1,0,21.4
13,1,0,16.36
9,1,0,20.14
8,0,0,21.27
9,1,0,17.0
11,1,0,20.92
12,0,0,23.03
9,0,1,17.11
5,1,1,18.0
8,0,0,14.24
8,1,0,15.1
17,1,0,18.9
18,1,0,13.0
5,0,0,24.0
12,1,1,14.4
13,1,0,15.6
9,1,1,9.9
6,1,1,19.12
9,1,0,18.88
13,0,0,20.4
8,1,0,16.1
10,0,1,11.8
8,0,0,28.4
11,1,0,17.6
8,0,0,17.0
14,1,1,10.98
12,0,0,19.7
15,0,0,24.0
10,0,1,16.55
10,0,0,19.5
18,1,0,15.5
10,0,1,22.69
16,1,0,16.6
4,1,0,20.89
10,1,0,17.5
7,0,0,15.1
11,0,0,21.27
12,0,1,16.46
7,0,1,14.75
7,1,0,17.4
11,1,0,18.4
8,0,0,28.09
8,1,1,11.1
16,0,0,12.05
12,1,0,13.4
8,1,0,20.73
11,0,1,10.2
9,0,1,13.01
4,1,0,24.7
5,1,0,24.07
5,1,1,18.9
13,0,0,18.8
12,0,0,16.52
7,1,0,18.44
10,1,0,20.51
15,1,1,10.2
6,0,0,26.0
7,0,1,19.6
14,0,0,17.1
7,1,0,18.5
4,0,1,22.48
7,1,0,16.47
10,0,1,17.05
9,0,1,11.18
6,0,0,22.77
13,1,1,10.8
6,0,0,23.4
7,1,0,17.57
12,0,1,14.4
14,0,1,16.07
6,1,1,17.01
7,0,0,25.44
9,1,1,17.21
5,0,1,10.91
7,0,1,22.32
5,1,0,17.0
10,0,0,20.46
7,1,0,24.07
7,1,0,19.49
13,1,0,11.7
10,0,0,23.5
8,1,0,17.01
14,1,1,15.0
11,1,0,17.5
9,1,1,17.01
9,0,0,17.3
13,1,0,14.28
12,1,0,19.0
10,1,0,25.4
7,0,1,17.32
19,1,0,14.7
7,0,1,14.16
11,0,0,23.2
5,0,0,15.4
9,0,0,28.09
12,0,0,21.43
17,1,0,16.1
6,1,1,14.62
11,0,1,11.5
4,1,0,21.4
10,0,1,23.8
14,0,1,13.0
8,1,0,20.92
9,0,0,22.1
14,0,0,11.5
11,0,1,18.88
7,1,0,16.8
4,0,0,11.5
10,1,0,15.04
7,0,1,17.6
15,1,0,13.1
7,0,0,21.66
8,1,0,17.57
7,0,1,12.9
16,1,1,11.1
6,0,0,20.77
4,0,1,12.65
11,1,0,12.9
9,0,1,16.09
12,0,1,20.0
10,0,1,23.3
15,1,1,11.7
6,0,0,12.99
5,0,0,12.55
5,1,0,18.7
8,1,0,17.0
6,0,1,28.4
9,0,0,21.64
7,0,0,23.0
18,0,0,12.8
5,0,0,20.65
6,0,1,21.72
4,0,0,13.68
4,1,0,17.4
9,0,1,12.19
8,1,0,22.74
9,0,1,12.0
7,0,0,16.55
6,0,0,26.1
8,0,0,21.03
7,0,1,14.21
7,0,0,23.4
11,1,0,21.1
18,1,0,14.7
11,0,0,21.5
12,0,1,18.33
10,0,1,19.5
6,0,1,12.81
12,1,0,20.51
6,0,1,17.06
12,0,1,15.06
15,1,0,20.36
12,0,0,17.67
4,0,1,14.75
10,0,0,15.96
8,1,0,17.8
8,1,0,15.0
9,1,1,19.34
15,1,1,8.3
6,0,0,13.49
7,0,0,20.14
8,1,0,17.4
12,1,0,16.1
14,0,1,12.5
9,0,1,16.96
11,0,1,11.79
15,1,0,15.26
7,1,0,20.73
12,1,0,19.81
11,0,0,20.86
10,1,1,16.5
12,0,1,11.5
6,0,0,25.2
19,1,0,16.1
13,1,0,16.1
5,1,0,15.29
6,0,1,17.05
6,0,0,22.7
11,0,1,18.33
6,0,0,27.3
7,0,1,17.11
10,0,1,12.0
12,1,0,16.95
9,0,0,24.2
10,1,0,13.24
10,1,1,16.98
12,0,0,23.59
6,0,1,13.6
9,1,1,13.7
11,0,1,18.1
13,0,0,12.05
8,1,0,17.1
15,1,1,16.4
7,1,0,15.04
15,0,0,18.7
12,0,0,19.5
8,0,1,13.22
9,1,0,17.5
9,0,0,11.68
6,0,1,14.84
9,1,1,15.74
13,1,0,15.7
12,0,0,12.99
6,0,1,18.49
5,0,1,22.48
5,0,1,11.57
11,0,1,11.74
12,1,1,13.7
10,1,1,16.95
12,0,0,12.05
16,0,0,10.9
12,0,0,16.8
12,0,1,17.05
5,1,1,19.0
8,0,1,19.59
6,1,1,21.4
12,1,0,26.0
8,0,0,14.95
6,1,0,21.56
8,0,0,25.83
16,1,0,15.26
12,1,1,16.8
7,1,0,16.95
12,0,0,20.3
11,0,1,11.4
5,0,0,18.49
10,0,1,11.2
13,1,0,22.5
6,0,0,24.52
8,1,1,20.51
10,0,0,19.6
8,1,0,13.06
17,1,0,13.5
12,0,0,21.0
10,0,1,15.15
15,0,0,28.4
12,1,1,9.43
12,0,0,17.9
16,1,1,11.74
9,1,0,20.3
8,1,1,16.9
10,1,0,18.0
6,1,1,22.5
13,0,1,16.07
12,1,0,15.6
19,1,0,13.0
4,1,0,18.16
10,0,1,14.21
11,1,0,26.0
7,1,1,17.21
7,0,0,20.34
11,0,0,22.7
4,1,0,18.6
8,0,1,14.16
8,1,0,17.5
9,0,1,18.23
6,0,0,17.1
11,1,0,14.28
7,0,1,20.68
10,0,0,17.3
10,0,0,19.3
14,0,1,18.1
16,1,0,19.81
7,1,1,15.5
9,0,1,23.8
7,1,0,15.7
12,1,0,14.49
9,1,0,20.36
12,0,1,22.69
14,1,0,18.0
5,1,0,17.4
6,0,1,18.12
7,0,1,21.21
11,0,1,15.2
13,0,0,16.52
9,1,0,15.1
6,0,0,25.0
8,0,0,18.2
5,0,1,11.0
6,0,1,22.0
6,0,1,17.01
9,0,1,14.4
8,1,0,18.7
11,0,1,14.94
6,0,1,12.9
11,0,1,15.8
11,0,1,16.73
10,0,0,10.5
15,1,0,13.4
19,1,1,10.5
11,1,0,19.1
7,0,0,28.4
6,0,0,23.0
6,0,1,14.69
8,0,1,20.68
16,1,1,10.13
13,0,0,19.5
11,0,1,15.3
9,0,0,15.3
14,0,0,20.4
12,1,1,12.9
6,0,1,20.38
12,0,0,21.9
5,0,1,22.32
17,1,0,15.3
8,0,0,22.9
5,0,1,12.55
12,1,0,12.4
7,1,0,18.16
5,1,1,12.05
11,1,0,13.14
6,1,1,12.05
5,0,0,23.4
11,0,1,12.39
11,0,0,21.9
10,0,0,21.43
5,0,1,24.3
15,1,0,15.7
14,0,0,13.8
7,1,0,18.78
11,0,0,21.64
10,0,1,16.36
12,0,1,12.8
9,1,0,15.6
11,0,1,11.72
9,0,0,19.6
10,1,0,15.1
12,0,0,14.0
18,1,0,14.0
8,1,0,16.78
8,0,0,24.0
9,0,1,20.0
8,1,0,20.4
15,1,0,15.0
11,1,1,17.16
9,0,0,15.4
8,0,1,16.77
14,0,0,13.6
8,1,0,17.43
7,0,0,18.49
16,1,0,13.2
12,1,0,18.6
14,0,1,12.4
6,0,1,20.7
8,0,0,26.1
9,0,1,19.08
8,0,1,18.56
15,1,1,10.1
10,0,1,9.52
12,0,1,13.73
17,0,0,12.8
4,1,1,19.0
10,0,1,16.1
9,1,0,17.3
13,1,1,11.9
7,0,0,25.32
13,1,1,10.9
8,0,0,23.59
8,0,0,13.0
14,1,0,17.3
16,1,0,19.0
11,0,1,12.07
11,0,1,13.01
16,0,0,13.6
14,1,1,10.9
7,0,1,15.68
13,0,1,11.4
5,0,1,12.62
9,1,1,19.12
11,0,1,14.16
9,0,0,21.79
12,1,0,16.8
10,1,0,15.0
6,0,1,18.0
7,1,1,12.95
7,0,1,13.0
9,1,1,15.5
7,0,1,9.0
7,1,0,22.5
6,1,0,16.8
8,1,1,19.16
18,0,1,11.0
6,0,1,15.4
13,1,1,12.1
5,0,1,18.12
7,1,1,24.07
10,1,0,24.7
14,0,0,23.0
11,0,1,11.9
10,1,1,14.3
6,1,1,16.5
7,1,1,18.9
6,1,0,23.1
14,1,0,18.5
7,1,0,23.84
9,0,1,16.55
13,0,0,14.24
7,0,1,15.26
8,0,0,21.9
8,1,0,21.5
8,0,0,20.4
6,0,0,25.6
8,1,0,14.0
11,0,1,14.0
8,0,1,13.01
10,1,0,15.8
8,0,1,23.8
10,1,1,17.01
8,0,1,11.18
7,1,0,23.1
6,0,0,26.21
7,1,1,15.63
12,0,1,16.77
12,0,0,19.2
10,1,0,26.0
7,1,0,18.88
10,0,1,20.58
11,0,0,13.93
17,1,0,16.9
8,0,1,17.05
12,1,1,9.0
13,0,1,14.7
12,1,1,19.2
7,1,1,14.62
7,0,1,15.3
11,0,0,13.58
12,0,0,20.64
4,0,1,18.0
9,1,0,15.04
12,1,0,23.9
9,0,0,22.77
8,1,1,14.62
6,0,1,15.97
11,1,0,16.25
10,0,0,14.0
11,1,0,17.01
7,1,1,13.7
15,0,0,15.8
7,1,1,15.04
9,0,0,14.0
11,1,1,16.82
17,1,0,13.4
9,1,0,14.28
5,1,0,10.4
12,0,0,16.0
10,1,1,17.44
14,0,0,21.1
6,0,0,24.2
6,1,1,14.84
13,0,1,20.0
5,0,1,16.0
7,0,0,13.5
7,1,0,17.0
9,0,0,11.1
11,0,1,13.2
16,1,1,10.1
9,1,0,17.92
9,0,1,12.55
7,0,1,10.5
11,0,0,18.5
16,1,0,14.0
8,0,0,14.02
16,1,0,20.36
7,1,1,19.16
12,0,0,28.4
6,0,0,27.39
12,1,0,18.3
11,0,0,20.14
10,0,1,22.48
8,1,0,20.14
6,0,0,25.4
9,0,0,22.71
9,0,0,23.08
9,0,0,11.5
11,0,1,16.09
7,0,0,22.7
6,0,1,22.69
10,1,1,19.34
5,0,0,26.21
8,0,0,24.5
8,0,1,14.74
11,1,0,12.8
16,1,0,19.7
4,0,1,17.6
12,1,0,14.0
13,1,1,14.67
16,1,0,17.92
7,0,0,17.8
14,1,1,11.1
8,0,0,18.6
15,0,0,18.1
5,0,1,16.1
13,1,0,17.92
10,0,1,17.54
7,1,0,17.43
7,0,1,19.5
18,0,0,10.5
7,0,1,18.0
12,0,1,12.07
7,0,0,19.3
5,0,0,21.13
7,0,1,12.07
10,0,1,13.2
11,1,1,12.05
7,0,1,15.87
5,1,0,22.7
15,0,0,9.5
15,0,1,13.1
5,0,0,16.3
15,0,0,12.99
8,0,0,14.8
8,0,0,19.3
16,0,0,11.56
7,1,1,22.5
4,1,1,23.84
8,1,0,22.0
7,1,1,16.82
13,1,0,26.0
8,0,0,26.21
6,0,0,22.0
10,0,1,14.39
15,0,0,19.09
7,0,0,19.87
13,1,1,12.3
9,1,0,24.7
12,1,0,16.2
18,1,0,16.8
14,0,0,19.3
15,0,0,12.8
8,1,0,25.4
4,1,0,18.12
7,1,0,15.4
